Service Name,Physical Address Line 1,Physical Address Line 2,Physical Suburb,Physical State,Physical Post Code,2019 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,Medicare Local Area Name,Medicare Local Area Code,2017 PHN Name,2017 PHN Code,2019 LGA Code,2019 LGA Name,Latitude,Longitude,2022/23 FY Australian Government Funding
Trentham Nursing Home,22-24 Victoria Street, ,TRENTHAM,VIC,3458,Grampians,Residential,15,0,0,Central Highlands Rural Health,State Government,Inner Regional Australia,5,21011,Daylesford,20102,Creswick - Daylesford - Ballan,Grampians,ML211,Western Victoria,PHN206,22910,Hepburn (S),-37.38673635,144.3275985,"$1,373,315 "
James Barker House,64 Buckley Street, ,FOOTSCRAY,VIC,3011,Western Metro,Residential,120,0,0,The Salvation Army (Victoria) Property Trust,Religious,Major Cities of Australia,1,21348,Footscray,21303,Maribyrnong,Macedon Ranges and North Western Melbourne,ML204,North Western Melbourne,PHN201,24330,Maribyrnong (C),-37.8036364,144.8960106,"$12,600,421 "
Geoffrey Cutter Centre,10 Kenny Street, ,BALLARAT,VIC,3350,Grampians,Residential,60,0,0,Grampians Health,State Government,Inner Regional Australia,2,21003,Ballarat - North,20101,Ballarat,Grampians,ML211,Western Victoria,PHN206,20570,Ballarat (C),-37.559401,143.890074,"$4,389,232 "
The Alexander Aged Care Centre,1720 Dandenong Road, ,CLAYTON,VIC,3168,Eastern Metro,Residential,90,0,0,Premier Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21320,Clayton,21205,Monash,Inner East Melbourne,ML206,Eastern Melbourne,PHN202,24970,Monash (C),-37.912745,145.123838,"$6,308,278 "
Talbot Place Aged Care Facility,1205 Dana Street, ,BALLARAT,VIC,3350,Grampians,Residential,30,0,0,Grampians Health,State Government,Inner Regional Australia,2,21002,Ballarat,20101,Ballarat,Grampians,ML211,Western Victoria,PHN206,20570,Ballarat (C),-37.562466,143.842038,"$2,351,686 "
Estia Health Ringwood,211-217 Wantirna Road, ,RINGWOOD,VIC,3134,Eastern Metro,Residential,169,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21266,Ringwood,21103,Maroondah,Eastern Melbourne,ML207,Eastern Melbourne,PHN202,24410,Maroondah (C),-37.837549,145.228182,"$13,396,654 "
Diana Street Lodge,17 Diana Street, ,CROYDON,VIC,3136,Eastern Metro,Residential,60,0,0,Donwood Community Aged Care Services Inc,Community Based,Major Cities of Australia,1,21451,Croydon - West,21103,Maroondah,Eastern Melbourne,ML207,Eastern Melbourne,PHN202,24410,Maroondah (C),-37.799212,145.260498,"$4,072,935 "
Calvary Narracan Gardens,17 Amaroo Way, ,NEWBOROUGH,VIC,3825,Gippsland,Residential,167,0,0,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,3,21095,Moe - Newborough,20504,Latrobe Valley,Gippsland,ML217,Gippsland,PHN204,23810,Latrobe (C) (Vic.),-38.17782955,146.2754394,"$9,880,139 "
Simpkin House Nursing Home,Cnr Gibson St & Holdsworth Rd, ,BENDIGO,VIC,3550,Loddon-Mallee,Residential,40,0,0,Bendigo Health Care Group,State Government,Inner Regional Australia,2,21018,Bendigo,20201,Bendigo,Loddon - Mallee - Murray,ML214,Murray,PHN205,22620,Greater Bendigo (C),-36.733902,144.268364,"$3,042,772 "
Latrobe Regional Hospital Nursing Home,40 Village Avenue, ,TRARALGON,VIC,3844,Gippsland,Residential,16,0,0,Latrobe Regional Hospital,State Government,Inner Regional Australia,3,21097,Traralgon,20504,Latrobe Valley,Gippsland,ML217,Gippsland,PHN204,23810,Latrobe (C) (Vic.),-38.218035,146.469138,"$705,013 "
Regis Ontario,382 - 404 Ontario Avenue, ,MILDURA,VIC,3500,Loddon-Mallee,Residential,108,0,0,Regis Aged Care Pty Ltd,Private Incorporated Body,Outer Regional Australia,3,21470,Mildura - South,21502,Mildura,Lower Murray,ML213,Murray,PHN205,24780,Mildura (RC),-34.19493398,142.1311547,"$9,505,360 "
Vasey RSL Care Brighton,21 Downes Avenue, ,BRIGHTON,VIC,3186,Southern Metro,Residential,40,0,0,Vasey RSL Care Ltd,Community Based,Major Cities of Australia,1,21169,Brighton (Vic.),20801,Bayside,Bayside,ML202,South Eastern Melbourne,PHN203,20910,Bayside (C),-37.89975055,144.9964755,"$2,240,434 "
Grace Of Mary Greek Cypriot Elderly Hostel,190-200 McDonalds Road, ,EPPING,VIC,3076,Northern Metro,Residential,42,0,0,The Community of Cypriots of the Northern Suburbs of Melbourne Inc,Community Based,Major Cities of Australia,1,21431,Epping - East,20904,Whittlesea - Wallan,Northern Melbourne,ML205,Eastern Melbourne,PHN202,27070,Whittlesea (C),-37.647814,145.059959,"$3,453,783 "
Ottoman Village Aged Care,66 Coleraine Street, ,BROADMEADOWS,VIC,3047,Northern Metro,Residential,32,0,0,Broadmeadows Turkish Islamic Society Inc,Community Based,Major Cities of Australia,1,21242,Broadmeadows,21005,Tullamarine - Broadmeadows,Northern Melbourne,ML205,North Western Melbourne,PHN201,23270,Hume (C),-37.67637415,144.9156839,"$2,720,851 "
Oasis Aged Care,1039 Karadoc Avenue, ,IRYMPLE,VIC,3498,Loddon-Mallee,Residential,42,0,0,Southern Cross Care (Broken Hill) Ltd,Religious,Outer Regional Australia,3,21395,Irymple,21502,Mildura,Lower Murray,ML213,Murray,PHN205,24780,Mildura (RC),-34.235017,142.161171,"$3,154,180 "
Uniting AgeWell Andrew Kerr Care,67-69 Tanti Avenue, ,MORNINGTON,VIC,3931,Southern Metro,Residential,120,0,0,Uniting Agewell Limited,Religious,Major Cities of Australia,1,21380,Mornington,21402,Mornington Peninsula,Frankston - Mornington Peninsula,ML209,South Eastern Melbourne,PHN203,25340,Mornington Peninsula (S),-38.2195986,145.0429715,"$8,494,147 "
Killara Hostel,215-235 Rossiter Road, ,KOO WEE RUP,VIC,3981,Southern Metro,Residential,40,0,0,Kooweerup Regional Health Service,State Government,Inner Regional Australia,2,21290,Koo Wee Rup,21201,Cardinia,South Eastern Melbourne,ML208,South Eastern Melbourne,PHN203,21450,Cardinia (S),-38.201562,145.484949,"$3,222,246 "
MannaCare - Doncaster Melaleuca Lodge,383 Manningham Road, ,DONCASTER,VIC,3108,Eastern Metro,Residential,60,0,0,MannaCare Inc.,Community Based,Major Cities of Australia,1,21160,Templestowe Lower,20702,Manningham - West,Inner East Melbourne,ML206,Eastern Melbourne,PHN202,24210,Manningham (C),-37.776454,145.118946,"$4,055,332 "
Warrnambool Place Care Community,170 Raglan Parade, ,WARRNAMBOOL,VIC,3280,Barwon-South Western,Residential,45,0,0,DPG Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,3,21479,Warrnambool - North,21704,Warrnambool,Great South Coast,ML212,Western Victoria,PHN206,26730,Warrnambool (C),-38.38273125,142.5174101,"$3,586,742 "
Meadow Heights Care Community,90 Lightwood Crescent, ,MEADOW HEIGHTS,VIC,3048,Northern Metro,Residential,63,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21247,Meadow Heights,21005,Tullamarine - Broadmeadows,Northern Melbourne,ML205,North Western Melbourne,PHN201,23270,Hume (C),-37.64431173,144.9139505,"$4,572,528 "
Altona Gardens Care Community,28-30 Rymill Court, ,ALTONA NORTH,VIC,3025,Western Metro,Residential,62,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21343,Altona North,21302,Hobsons Bay,South Western Melbourne,ML203,North Western Melbourne,PHN201,23110,Hobsons Bay (C),-37.832776,144.839428,"$4,387,934 "
Epping Meadows Care Community,202 McDonalds Road, ,EPPING,VIC,3076,Northern Metro,Residential,123,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21431,Epping - East,20904,Whittlesea - Wallan,Northern Melbourne,ML205,Eastern Melbourne,PHN202,27070,Whittlesea (C),-37.64790361,145.0607616,"$8,212,589 "
Bayside Hostel,5 McDonald Street, ,MORDIALLOC,VIC,3195,Southern Metro,Residential,41,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,21193,Mordialloc - Parkdale,20803,Kingston,Bayside,ML202,South Eastern Melbourne,PHN203,23430,Kingston (C) (Vic.),-38.004942,145.087186,"$3,461,531 "
Calvary Balmoral Grove,24-34 Smith Street, ,GROVEDALE,VIC,3216,Barwon-South Western,Residential,110,0,0,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21041,Grovedale,20302,Geelong,Barwon,ML210,Western Victoria,PHN206,22750,Greater Geelong (C),-38.20174825,144.344571,"$6,309,589 "
Gibson Street Complex,26 Gibson Street, ,NORTH BENDIGO,VIC,3550,Loddon-Mallee,Residential,120,0,0,Bendigo Health Care Group,State Government,Inner Regional Australia,2,21018,Bendigo,20201,Bendigo,Loddon - Mallee - Murray,ML214,Murray,PHN205,22620,Greater Bendigo (C),-36.73299055,144.2676639,"$8,269,087 "
Hopetoun Nursing Home,12 Mitchell Place, ,HOPETOUN,VIC,3396,Grampians,Residential,10,0,0,Rural Northwest Health,State Government,Outer Regional Australia,5,21394,Yarriambiack,21501,Grampians,Grampians,ML211,Western Victoria,PHN206,27630,Yarriambiack (S),-35.73093915,142.3655104,"$358,388 "
mecwacare Park Hill,160 Mornington-Tyabb Road, ,MORNINGTON,VIC,3931,Southern Metro,Residential,69,0,0,MECWA,Community Based,Major Cities of Australia,1,21380,Mornington,21402,Mornington Peninsula,Frankston - Mornington Peninsula,ML209,South Eastern Melbourne,PHN203,25340,Mornington Peninsula (S),-38.2376578,145.0603777,"$5,146,407 "
Villa Del Sole,73 William Street, ,GLENROY,VIC,3046,Northern Metro,Residential,52,0,0,Securo Care Proprietary Limited,Private Incorporated Body,Major Cities of Australia,1,21438,Glenroy,21003,Moreland - North,Inner North West Melbourne,ML201,North Western Melbourne,PHN201,25250,Moreland (C),-37.70377589,144.9085725,"$3,350,276 "
Marina Residential Aged Care Service,385 Blackshaws Road, ,ALTONA NORTH,VIC,3025,Western Metro,Residential,190,0,0,Jimroy Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21343,Altona North,21302,Hobsons Bay,South Western Melbourne,ML203,North Western Melbourne,PHN201,23110,Hobsons Bay (C),-37.83125055,144.8469572,"$15,619,742 "
Calvary Capel Sands,8-16 Capel Avenue, ,CAPEL SOUND,VIC,3940,Southern Metro,Residential,60,0,0,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21384,Rosebud - McCrae,21402,Mornington Peninsula,Frankston - Mornington Peninsula,ML209,South Eastern Melbourne,PHN203,25340,Mornington Peninsula (S),-38.364564,144.876758,"$4,286,132 "
Emmavale Gardens,7 Elberta Avenue, ,TEMPLESTOWE LOWER,VIC,3107,Eastern Metro,Residential,50,0,0,Menarock Aged Care Services (Templestowe) Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21160,Templestowe Lower,20702,Manningham - West,Inner East Melbourne,ML206,Eastern Melbourne,PHN202,24210,Manningham (C),-37.7733289,145.1164958,"$3,023,812 "
Estia Health Coolaroo,15 Mladen Court, ,COOLAROO,VIC,3048,Northern Metro,Residential,60,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21243,Campbellfield - Coolaroo,21005,Tullamarine - Broadmeadows,Northern Melbourne,ML205,North Western Melbourne,PHN201,23270,Hume (C),-37.65766601,144.931367,"$4,727,167 "
Avonlea Grange Hostel,3-7 Patty Street, ,MENTONE,VIC,3194,Southern Metro,Residential,70,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,21190,Mentone,20803,Kingston,Bayside,ML202,South Eastern Melbourne,PHN203,23430,Kingston (C) (Vic.),-37.97670105,145.0546127,"$5,502,329 "
Doutta Galla Queens Park Aged Care Facility,13 The Strand, ,MOONEE PONDS,VIC,3039,Western Metro,Residential,45,0,0,Doutta Galla Aged Services Ltd,Charitable,Major Cities of Australia,1,21116,Moonee Ponds,20603,Essendon,Inner North West Melbourne,ML201,North Western Melbourne,PHN201,25060,Moonee Valley (C),-37.76001,144.924259,"$3,972,483 "
Graceland Manor,508 Glenhuntly Road, ,ELSTERNWICK,VIC,3185,Southern Metro,Residential,45,0,0,Graceland Hostel Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21179,Elsternwick,20802,Glen Eira,Bayside,ML202,South Eastern Melbourne,PHN203,22310,Glen Eira (C),-37.885542,145.010051,"$2,626,095 "
The Birches,Foster Street, ,HAMILTON,VIC,3300,Barwon-South Western,Residential,45,0,0,Western District Health Service,State Government,Inner Regional Australia,4,21421,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Great South Coast,ML212,Western Victoria,PHN206,26260,Southern Grampians (S),-37.737246,142.029706,"$3,113,196 "
Estia Health Dandenong,147-151 David Street, ,DANDENONG,VIC,3175,Southern Metro,Residential,60,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21311,Dandenong,21204,Dandenong,South Eastern Melbourne,ML208,South Eastern Melbourne,PHN203,22670,Greater Dandenong (C),-37.97778431,145.2242639,"$4,730,030 "
Calvary Sandhurst,20 Herbert Road, ,CARRUM DOWNS,VIC,3201,Southern Metro,Residential,30,0,0,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21370,Carrum Downs,21401,Frankston,Frankston - Mornington Peninsula,ML209,South Eastern Melbourne,PHN203,22170,Frankston (C),-38.090863,145.185863,"$2,689,308 "
Melville Grange Hostel,80 Melville Park Drive, ,BERWICK,VIC,3806,Southern Metro,Residential,120,0,0,Wickro Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21293,Berwick - North,21202,Casey - North,South Eastern Melbourne,ML208,South Eastern Melbourne,PHN203,21610,Casey (C),-38.03890867,145.3458849,"$9,249,560 "
Lakes Entrance Care Community,35a Lakeview Drive, ,LAKES ENTRANCE,VIC,3909,Gippsland,Residential,76,0,0,DPG Services Pty Ltd,Private Incorporated Body,Outer Regional Australia,4,21084,Lakes Entrance,20502,Gippsland - East,Gippsland,ML217,Gippsland,PHN204,22110,East Gippsland (S),-37.87030915,147.9918806,"$6,037,853 "
Embracia in Reservoir,65a Glasgow Avenue, ,RESERVOIR,VIC,3073,Northern Metro,Residential,105,0,0,Embracia Victoria Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21208,Reservoir - West,20902,Darebin - North,Northern Melbourne,ML205,North Western Melbourne,PHN201,21890,Darebin (C),-37.70337678,144.9989378,"$7,267,409 "
Waverley Valley Care Community,29-33 Chesterville Road, ,GLEN WAVERLEY,VIC,3150,Eastern Metro,Residential,170,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21322,Glen Waverley - West,21205,Monash,Inner East Melbourne,ML206,Eastern Melbourne,PHN202,24970,Monash (C),-37.86946749,145.1590512,"$11,962,058 "
Noble Gardens Residential Aged Care,55 Thomas Street, ,NOBLE PARK,VIC,3174,Southern Metro,Residential,130,0,0,Great Oaks Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21460,Noble Park - West,21204,Dandenong,South Eastern Melbourne,ML208,South Eastern Melbourne,PHN203,22670,Greater Dandenong (C),-37.97263503,145.1778402,"$12,812,491 "
Estia Health Heidelberg West,413-415 Waterdale Road, ,HEIDELBERG WEST,VIC,3081,Northern Metro,Residential,45,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21199,Heidelberg West,20901,Banyule,Northern Melbourne,ML205,Eastern Melbourne,PHN202,20660,Banyule (C),-37.748036,145.046458,"$3,654,879 "
Belmont Grange,34 Church Street, ,GROVEDALE,VIC,3216,Barwon-South Western,Residential,112,0,0,Wickro Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21041,Grovedale,20302,Geelong,Barwon,ML210,Western Victoria,PHN206,22750,Greater Geelong (C),-38.19636551,144.3380051,"$5,714,449 "
Arcare Hillside,50 Community Hub, ,SYDENHAM,VIC,3037,Western Metro,Residential,70,0,0,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21339,Sydenham,21301,Brimbank,Macedon Ranges and North Western Melbourne,ML204,North Western Melbourne,PHN201,21180,Brimbank (C),-37.701107,144.759265,"$5,482,704 "
Rangeview Private Nursing Home,15-17 Mason Street, ,WANGARATTA,VIC,3677,Hume,Residential,60,0,0,Merakis Enterprises Pty Ltd,Private Incorporated Body,Inner Regional Australia,3,21066,Wangaratta,20402,Wangaratta - Benalla,Hume,ML216,Murray,PHN205,26700,Wangaratta (RC),-36.37538163,146.3041707,"$4,519,740 "
Calvary Millward,31 Blackburn Road, ,DONCASTER EAST,VIC,3109,Eastern Metro,Residential,163,0,0,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21425,Doncaster East (South),20702,Manningham - West,Inner East Melbourne,ML206,Eastern Melbourne,PHN202,24210,Manningham (C),-37.79904918,145.1597649,"$9,143,978 "
Arcare Sydenham,31-51 Trickey Avenue, ,SYDENHAM,VIC,3037,Western Metro,Residential,120,0,0,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21339,Sydenham,21301,Brimbank,Macedon Ranges and North Western Melbourne,ML204,North Western Melbourne,PHN201,21180,Brimbank (C),-37.697084,144.767234,"$10,045,274 "
Wintringham Gilgunya Village,23 Harding Street, ,COBURG,VIC,3058,Northern Metro,Residential,51,0,0,Wintringham,Charitable,Major Cities of Australia,1,21108,Coburg,20601,Brunswick - Coburg,Inner North West Melbourne,ML201,North Western Melbourne,PHN201,25250,Moreland (C),-37.745196,144.969244,"$5,833,392 "
Inverloch Coast Care Community,119 Cashin Street, ,INVERLOCH,VIC,3996,Gippsland,Residential,110,0,0,DPG Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,4,21093,Wonthaggi - Inverloch,20503,Gippsland - South West,Gippsland,ML217,Gippsland,PHN204,20740,Bass Coast (S),-38.6284979,145.7168532,"$8,203,499 "
Villa Maria Catholic Homes Ashwood Aged Care Residence,54 Queens Parade, ,ASHWOOD,VIC,3147,Eastern Metro,Residential,90,0,0,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,1,21319,Ashwood - Chadstone,21205,Monash,Inner East Melbourne,ML206,Eastern Melbourne,PHN202,24970,Monash (C),-37.87045441,145.095196,"$5,440,861 "
Estia Health Keysborough,15 Stanley Road, ,KEYSBOROUGH,VIC,3173,Southern Metro,Residential,62,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21314,Keysborough,21204,Dandenong,South Eastern Melbourne,ML208,South Eastern Melbourne,PHN203,22670,Greater Dandenong (C),-37.99518046,145.1692698,"$4,850,873 "
Charlesbrook,1-11 Innisfallen Avenue, ,TEMPLESTOWE,VIC,3106,Eastern Metro,Residential,71,0,0,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21159,Templestowe,20702,Manningham - West,Inner East Melbourne,ML206,Eastern Melbourne,PHN202,24210,Manningham (C),-37.75383903,145.1519141,"$5,112,672 "
Regis Sandringham,37 Bay Road, ,SANDRINGHAM,VIC,3191,Southern Metro,Residential,58,0,0,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21173,Sandringham - Black Rock,20801,Bayside,Bayside,ML202,South Eastern Melbourne,PHN203,20910,Bayside (C),-37.95189301,145.0064859,"$4,070,909 "
MiCare Margriet Manor,722 Mt Dandenong Road, ,KILSYTH,VIC,3137,Eastern Metro,Residential,45,0,0,MiCare Ltd,Community Based,Major Cities of Australia,1,21277,Kilsyth,21105,Yarra Ranges,Eastern Melbourne,ML207,Eastern Melbourne,PHN202,27450,Yarra Ranges (S),-37.807706,145.325998,"$2,616,941 "
Calvary Rosanna Views,269-271 Lower Plenty Road, ,ROSANNA,VIC,3084,Northern Metro,Residential,96,0,0,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21198,Heidelberg - Rosanna,20901,Banyule,Northern Melbourne,ML205,Eastern Melbourne,PHN202,20660,Banyule (C),-37.736361,145.075338,"$5,543,889 "
Keilor East Manor Care Community,188a Sterling Drive, ,KEILOR EAST,VIC,3033,Western Metro,Residential,60,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21229,Keilor East,21001,Keilor,Inner North West Melbourne,ML201,North Western Melbourne,PHN201,25060,Moonee Valley (C),-37.744664,144.849696,"$3,312,194 "
HammondCare - Caulfield Village,260 Kooyong Road, ,CAULFIELD,VIC,3162,Southern Metro,Residential,81,0,0,HammondCare,Charitable,Major Cities of Australia,1,21178,Caulfield - South,20802,Glen Eira,Bayside,ML202,South Eastern Melbourne,PHN203,22310,Glen Eira (C),-37.882215,145.015908,"$6,378,410 "
Trevi Court,95 Bulla Road, ,ESSENDON,VIC,3040,Western Metro,Residential,54,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,21114,Essendon - Aberfeldie,20603,Essendon,Inner North West Melbourne,ML201,North Western Melbourne,PHN201,25060,Moonee Valley (C),-37.744059,144.909699,"$4,533,006 "
Claremont Terrace,231-253 McKinnon Road, ,MCKINNON,VIC,3204,Southern Metro,Residential,157,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,21174,Bentleigh - McKinnon,20802,Glen Eira,Bayside,ML202,South Eastern Melbourne,PHN203,22310,Glen Eira (C),-37.911341,145.041977,"$10,028,897 "
Highwood Court,359 Warrigal Road, ,BURWOOD,VIC,3125,Eastern Metro,Residential,79,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,21165,Burwood,20703,Whitehorse - West,Inner East Melbourne,ML206,Eastern Melbourne,PHN202,26980,Whitehorse (C),-37.8530942,145.0953706,"$5,191,606 "
Homestead Estate Residential Aged Care,9-11 Homestead Avenue, ,WALLINGTON,VIC,3222,Barwon-South Western,Residential,260,0,0,The Leaper Corporation Pty Ltd,Private Incorporated Body,Inner Regional Australia,2,21050,Ocean Grove - Barwon Heads,20303,Surf Coast - Bellarine Peninsula,Barwon,ML210,Western Victoria,PHN206,22750,Greater Geelong (C),-38.22161976,144.5360797,"$12,450,184 "
Medina Manor,200a Smith Street, ,THORNBURY,VIC,3071,Northern Metro,Residential,44,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,21112,Thornbury,20602,Darebin - South,Northern Melbourne,ML205,North Western Melbourne,PHN201,21890,Darebin (C),-37.75571171,144.983785,"$4,134,081 "
Estia Health Melton South,34-42 Brooklyn Road, ,MELTON SOUTH,VIC,3338,Western Metro,Residential,103,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21357,Melton South,21304,Melton - Bacchus Marsh,Macedon Ranges and North Western Melbourne,ML204,North Western Melbourne,PHN201,24650,Melton (C),-37.7025253,144.572616,"$9,177,658 "
Belvedere Aged Care,41-43 Fintonia Road, ,NOBLE PARK,VIC,3174,Southern Metro,Residential,60,0,0,Belvedere Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21459,Noble Park - East,21204,Dandenong,South Eastern Melbourne,ML208,South Eastern Melbourne,PHN203,22670,Greater Dandenong (C),-37.961968,145.18576,"$5,072,787 "
Baptcare - Westhaven Community,50 Pickett Street, ,FOOTSCRAY,VIC,3011,Western Metro,Residential,127,0,0,Baptcare Ltd,Religious,Major Cities of Australia,1,21348,Footscray,21303,Maribyrnong,Macedon Ranges and North Western Melbourne,ML204,North Western Melbourne,PHN201,24330,Maribyrnong (C),-37.8012115,144.894414,"$8,616,631 "
Abberfield Aged Care Facility,376-380 Bluff Road, ,SANDRINGHAM,VIC,3191,Southern Metro,Residential,140,0,0,Sandra Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21171,Cheltenham - Highett (West),20801,Bayside,Bayside,ML202,South Eastern Melbourne,PHN203,20910,Bayside (C),-37.948095,145.022068,"$8,888,666 "
Traralgon Aged Care,69 Liddiard Road, ,TRARALGON,VIC,3844,Gippsland,Residential,60,0,0,Aged Care Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,3,21097,Traralgon,20504,Latrobe Valley,Gippsland,ML217,Gippsland,PHN204,23810,Latrobe (C) (Vic.),-38.2050437,146.5503901,"$4,819,024 "
Calvary Bayview,1295 Frankston-Dandenong Road, ,CARRUM DOWNS,VIC,3201,Southern Metro,Residential,90,0,0,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21370,Carrum Downs,21401,Frankston,Frankston - Mornington Peninsula,ML209,South Eastern Melbourne,PHN203,22170,Frankston (C),-38.10215594,145.1709698,"$7,458,635 "
Glen Waverley Nursing Home,982 High Street Road, ,GLEN WAVERLEY,VIC,3150,Eastern Metro,Residential,49,0,0,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21321,Glen Waverley - East,21205,Monash,Inner East Melbourne,ML206,Eastern Melbourne,PHN202,24970,Monash (C),-37.877076,145.188153,"$3,192,786 "
Kardinia Parkside Care Community,299 Latrobe Terrace, ,GEELONG,VIC,3220,Barwon-South Western,Residential,104,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21039,Geelong,20302,Geelong,Barwon,ML210,Western Victoria,PHN206,22750,Greater Geelong (C),-38.15213165,144.3520734,"$5,418,276 "
Grace Villa Aged Care,4/ 25-33 Grimshaw Street, ,GREENSBOROUGH,VIC,3088,Northern Metro,Residential,91,0,0,Samkay Health Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21197,Greensborough,20901,Banyule,Northern Melbourne,ML205,Eastern Melbourne,PHN202,20660,Banyule (C),-37.70514434,145.1059752,"$3,425,201 "
Baptcare Peninsula View Community,24-28 Moorooduc Highway, ,FRANKSTON SOUTH,VIC,3199,Southern Metro,Residential,106,0,0,Baptcare Ltd,Religious,Major Cities of Australia,1,21373,Frankston South,21401,Frankston,Frankston - Mornington Peninsula,ML209,South Eastern Melbourne,PHN203,22170,Frankston (C),-38.185216,145.140331,"$8,560,023 "
Deloraine Private Nursing Home,18 Adeline Street, ,GREENSBOROUGH,VIC,3088,Northern Metro,Residential,75,0,0,Ejaz Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21197,Greensborough,20901,Banyule,Northern Melbourne,ML205,Eastern Melbourne,PHN202,20660,Banyule (C),-37.7072377,145.0940748,"$3,874,996 "
Arcare Knox,478 Burwood Highway, ,WANTIRNA SOUTH,VIC,3152,Eastern Metro,Residential,147,0,0,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21260,Wantirna South,21101,Knox,Eastern Melbourne,ML207,Eastern Melbourne,PHN202,23670,Knox (C),-37.8656464,145.2247908,"$10,630,552 "
Estia Health Victoria Heights,41-45 Victoria Street, ,IRONBARK,VIC,3550,Loddon-Mallee,Residential,70,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Inner Regional Australia,2,21018,Bendigo,20201,Bendigo,Loddon - Mallee - Murray,ML214,Murray,PHN205,22620,Greater Bendigo (C),-36.751498,144.265907,"$5,415,619 "
Warrandyte Gardens Care Community,205 Warrandyte Road, ,RINGWOOD NORTH,VIC,3134,Eastern Metro,Residential,112,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21268,Ringwood North,21103,Maroondah,Eastern Melbourne,ML207,Eastern Melbourne,PHN202,24410,Maroondah (C),-37.792197,145.23537,"$7,584,021 "
